City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
78,Taseyevo,RU,57.2169,94.8978,-14.24,100,100,0.63,overcast clouds
79,Ketchikan,US,55.3422,-131.6461,43.27,81,75,3.44,broken clouds
80,Srednekolymsk,RU,67.45,153.6833,-38.09,100,75,2.98,broken clouds
81,Lundazi,ZM,-12.2929,33.1782,68.36,88,100,1.7,light rain
82,Klaksvik,FO,62.2266,-6.589,49.12,86,100,41.65,overcast clouds
83,Dezful,IR,32.3811,48.4058,61.34,56,72,3.06,broken clouds
84,Khatanga,RU,71.9667,102.5,-11.24,98,100,6.38,overcast clouds
85,Saint George,US,37.1041,-113.5841,59.63,29,0,1.99,clear sky
86,Guerrero Negro,MX,27.9769,-114.0611,75.85,24,96,6.11,overcast clouds
87,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,68.9,35,100,4.81,overcast clouds
88,Saskylakh,RU,71.9167,114.0833,-37.86,100,60,5.64,broken clouds
89,Nome,US,64.5011,-165.4064,-2.13,65,0,6.91,clear sky
90,Qaanaaq,GL,77.484,-69.3632,-1.73,91,100,5.01,overcast clouds
91,Mocuba,MZ,-16.8392,36.9856,74.64,97,100,1.72,overcast clouds
92,Iqaluit,CA,63.7506,-68.5145,-13.27,69,40,3.0,scattered clouds
93,Mahebourg,MU,-20.4081,57.7,79.25,89,40,11.5,scattered clouds
94,Slupsk,PL,54.4641,17.0287,35.42,93,61,14.61,broken clouds
95,Saldanha,ZA,-33.0117,17.9442,69.85,87,73,10.83,broken clouds
96,Henties Bay,NA,-22.116,14.2845,63.86,93,99,7.31,overcast clouds
97,Hermanus,ZA,-34.4187,19.2345,73.9,76,100,13.76,overcast clouds
98,Preston,GB,53.7667,-2.7167,48.15,97,47,5.39,scattered clouds
99,Tahoua,NE,14.8888,5.2692,73.38,13,0,4.61,clear sky
100,Victoria,HK,22.2855,114.1577,62.26,73,100,1.01,overcast clouds
101,Prachin Buri,TH,14.0833,101.6667,70.45,66,28,3.89,scattered clouds
102,Duldurga,RU,50.6761,113.5931,-8.59,95,82,3.24,broken clouds
103,Pangnirtung,CA,66.1451,-65.7125,-22.0,69,20,2.3,few clouds
104,Ponta Do Sol,PT,32.6667,-17.1,63.72,74,39,5.79,scattered clouds
105,Monteagudo,BO,-19.8167,-63.9833,89.38,30,48,8.9,scattered clouds
106,Churapcha,RU,62.0025,132.4325,-23.04,99,100,2.08,overcast clouds
107,Tiksi,RU,71.6872,128.8694,-20.31,98,93,6.71,overcast clouds
108,Boddam,GB,57.4667,-1.7833,50.11,81,100,6.35,overcast clouds
109,Tokonou,GN,9.65,-9.7833,76.51,17,31,3.8,scattered clouds
110,Zhangjiakou,CN,40.81,114.8794,12.31,62,9,6.26,light snow
111,Whyalla,AU,-33.0333,137.5833,62.49,77,100,11.5,overcast clouds
112,La Ronge,CA,55.1001,-105.2842,10.65,85,100,4.61,overcast clouds
113,Hobart,AU,-42.8794,147.3294,63.01,75,75,1.99,broken clouds
114,Padang,ID,-0.9492,100.3543,76.19,86,55,4.07,broken clouds
115,Savona,IT,44.3,8.2667,42.67,57,0,7.85,clear sky
116,Beringovskiy,RU,63.05,179.3167,-13.13,94,21,10.38,few clouds
117,Komsomolskiy,UZ,40.4272,71.7189,33.22,74,100,4.61,mist
118,Hithadhoo,MV,-0.6,73.0833,82.17,73,89,5.75,overcast clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,75.22,82,0,21.0,clear sky
120,Jamestown,US,42.097,-79.2353,39.09,54,100,1.99,overcast clouds
121,Hirara,JP,24.8,125.2833,63.39,65,84,8.66,broken clouds
122,Dikson,RU,73.5069,80.5464,-4.95,94,100,18.25,overcast clouds
123,Norman Wells,CA,65.282,-126.8329,-11.16,70,75,4.61,light snow
124,Esperance,AU,-33.8667,121.9,60.64,72,1,11.83,clear sky
125,Bathsheba,BB,13.2167,-59.5167,81.21,61,20,16.11,few clouds
126,Cherskiy,RU,68.75,161.3,-29.58,99,18,1.74,few clouds
127,Te Anau,NZ,-45.4167,167.7167,52.48,66,17,2.17,few clouds
128,Gramada,BG,43.8344,22.6586,24.73,77,57,6.69,broken clouds
129,Morondava,MG,-20.2833,44.2833,79.72,84,100,8.88,moderate rain
130,La Asuncion,VE,11.0333,-63.8628,82.13,69,7,17.27,clear sky
131,Saint-Augustin,CA,51.226,-58.6502,9.91,94,98,5.19,light snow
132,Cravo Norte,CO,6.3017,-70.2041,93.7,29,63,7.05,broken clouds
133,Malinovoye Ozero,RU,51.6753,79.7825,9.19,91,100,4.0,overcast clouds
134,Villa Carlos Paz,AR,-31.4241,-64.4978,101.05,12,3,10.0,clear sky
135,Hovd,MN,48.0056,91.6419,-1.68,74,50,2.71,scattered clouds
136,Krasnaya Gora,RU,52.9995,31.6023,-0.15,98,7,6.44,clear sky
137,Hobyo,SO,5.3505,48.5268,77.14,71,92,21.14,overcast clouds
138,Namtsy,RU,62.7161,129.6658,-30.89,98,100,3.06,overcast clouds
139,Saint-Georges,GD,12.0564,-61.7485,82.08,61,20,16.11,few clouds
140,Manali,IN,13.1667,80.2667,81.07,85,81,6.78,broken clouds
141,Burriana,ES,39.889,-0.085,52.7,90,34,3.89,scattered clouds
142,Kaseda,JP,31.4167,130.3167,38.43,73,99,22.06,overcast clouds
143,Cap Malheureux,MU,-19.9842,57.6142,79.47,86,93,5.01,overcast clouds
144,Mahina,PF,-17.5065,-149.489,74.97,94,75,9.22,moderate rain
145,Praia,CV,14.9215,-23.5087,70.34,64,97,8.05,overcast clouds
146,Doha,QA,25.2867,51.5333,64.29,72,0,2.3,clear sky
147,Yar-Sale,RU,66.8333,70.8333,9.05,89,100,13.22,overcast clouds
148,Hambantota,LK,6.1241,81.1185,75.54,100,75,1.14,broken clouds
149,Skarnes,NO,60.2528,11.6797,38.75,95,81,3.2,broken clouds
150,Kaitangata,NZ,-46.2817,169.8464,54.93,68,66,10.54,broken clouds
