City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Stornoway,GB,2021-09-22 18:19:00,58.2093,-6.3865,55.92,71,40,14.97
68,Bredasdorp,ZA,2021-09-22 18:19:00,-34.5322,20.0403,63.28,82,81,8.05
69,Butaritari,KI,2021-09-22 18:19:01,3.0707,172.7902,82.62,70,100,15.23
70,Cockburn Town,TC,2021-09-22 18:14:14,21.4612,-71.1419,82.72,76,100,11.01
71,Mataura,NZ,2021-09-22 18:19:01,-46.1927,168.8643,37.47,95,3,2.64
72,Ribeira Grande,PT,2021-09-22 18:19:02,38.5167,-28.7,73.8,78,20,14.97
73,Coquimbo,CL,2021-09-22 18:19:02,-29.9533,-71.3436,62.33,51,0,11.5
74,Dikson,RU,2021-09-22 18:19:03,73.5069,80.5464,35.38,99,100,11.03
75,Dongsheng,CN,2021-09-22 18:19:03,39.8161,109.9776,62.2,45,47,12.75
76,Flinders,AU,2021-09-22 18:17:03,-34.5833,150.8552,51.21,81,0,1.01
77,Cherskiy,RU,2021-09-22 18:19:04,68.75,161.3,28.58,59,99,5.77
78,Labuhan,ID,2021-09-22 18:19:05,-6.8844,112.2051,79.84,77,84,10.83
79,Domoni,KM,2021-09-22 18:19:05,-12.2569,44.5319,75.94,74,5,9.26
80,Antofagasta,CL,2021-09-22 18:19:06,-23.65,-70.4,60.08,64,75,13.76
81,San Pedro,PH,2021-09-22 18:19:06,14.35,121.0167,81.63,84,40,4.61
82,Qaanaaq,GL,2021-09-22 18:17:46,77.484,-69.3632,14.09,62,9,6.82
83,Severo-Kurilsk,RU,2021-09-22 18:19:07,50.6789,156.125,49.41,77,100,5.7
84,Krasnoselkup,RU,2021-09-22 18:19:07,65.7,82.4667,34.25,76,100,15.12
85,Richards Bay,ZA,2021-09-22 18:19:08,-28.783,32.0377,60.89,72,0,5.86
86,Acapulco,MX,2021-09-22 18:16:10,16.8634,-99.8901,85.82,79,40,8.05
87,Clyde River,CA,2021-09-22 18:19:08,70.4692,-68.5914,30.43,93,90,17.27
88,Ghanzi,BW,2021-09-22 18:19:09,-21.5667,21.7833,74.68,30,40,9.98
89,Grenaa,DK,2021-09-22 18:19:09,56.4158,10.8783,61.02,82,0,16.06
90,Waipawa,NZ,2021-09-22 18:19:10,-41.4122,175.5153,59.04,85,100,7.92
91,Ibra,OM,2021-09-22 18:19:10,22.6906,58.5334,91.83,34,92,11.7
92,Souillac,MU,2021-09-22 18:19:11,-20.5167,57.5167,72.36,78,75,12.66
93,Mahebourg,MU,2021-09-22 18:19:12,-20.4081,57.7,72.25,78,75,12.66
94,Sibu,MY,2021-09-22 18:19:12,2.3,111.8167,75.51,94,40,0.0
95,Georgetown,MY,2021-09-22 18:17:03,5.4112,100.3354,80.55,69,20,1.01
96,Barrow,US,2021-09-22 18:19:13,71.2906,-156.7887,32.02,74,90,24.16
97,Ahipara,NZ,2021-09-22 18:19:14,-35.1667,173.1667,57.4,95,100,12.88
98,Nantucket,US,2021-09-22 18:19:15,41.2835,-70.0995,78.26,85,21,14.41
99,Tamandare,BR,2021-09-22 18:19:15,-8.7597,-35.1047,82.47,69,9,11.59
100,Alamosa,US,2021-09-22 18:19:16,37.4695,-105.87,65.35,23,1,2.98
101,Kununurra,AU,2021-09-22 18:19:16,-15.7667,128.7333,67.98,19,47,5.75
102,Toyooka,JP,2021-09-22 18:19:17,35.5333,134.8333,67.1,90,12,4.74
103,East London,ZA,2021-09-22 18:16:59,-33.0153,27.9116,63.54,72,0,16.11
104,Saldanha,ZA,2021-09-22 18:19:17,-33.0117,17.9442,71.65,58,83,9.55
105,Kahului,US,2021-09-22 18:17:43,20.8947,-156.47,80.62,70,20,17.27
106,Ozernovskiy,RU,2021-09-22 18:19:19,51.5,156.5167,48.54,69,100,3.6
107,Te Anau,NZ,2021-09-22 18:15:45,-45.4167,167.7167,36.32,91,15,0.65
108,Kruisfontein,ZA,2021-09-22 18:19:19,-34.0033,24.7314,58.89,81,2,9.73
109,Torbay,CA,2021-09-22 18:19:20,47.6666,-52.7314,75.88,38,90,23.02
110,Lebyazhye,RU,2021-09-22 18:19:20,55.2689,66.4947,41.14,82,100,5.59
111,Caravelas,BR,2021-09-22 18:14:32,-17.7125,-39.2481,74.28,64,100,18.81
112,Maine-Soroa,NE,2021-09-22 18:19:21,13.2114,12.0241,77.16,75,100,20.78
113,Maarianhamina,AX,2021-09-22 18:19:21,60.0973,19.9348,53.46,82,75,14.97
114,Ler,SS,2021-09-22 18:19:22,8.3018,30.1418,77.63,77,88,3.69
115,Chokurdakh,RU,2021-09-22 18:18:25,70.6333,147.9167,29.34,78,84,6.73
116,Grand Gaube,MU,2021-09-22 18:19:23,-20.0064,57.6608,72.37,67,11,7.0
117,Saint George,US,2021-09-22 18:19:23,37.1041,-113.5841,91.87,17,1,3.0
118,Inongo,CD,2021-09-22 18:19:24,-1.95,18.2667,74.93,74,83,6.29
119,Deputatskiy,RU,2021-09-22 18:19:24,69.3,139.9,25.52,84,48,2.44
120,Yabelo,ET,2021-09-22 18:19:25,4.8833,38.0833,69.98,45,83,9.22
121,Esperance,AU,2021-09-22 18:17:23,-33.8667,121.9,49.84,78,0,6.33
122,Saint-Augustin,CA,2021-09-22 18:19:26,51.226,-58.6502,71.35,52,86,17.74
123,Cape Canaveral,US,2021-09-22 18:19:25,28.4058,-80.6048,91.09,70,20,8.05
124,Dawei,MM,2021-09-22 18:19:27,14.0833,98.2,75.15,95,100,2.01
125,Kayerkan,RU,2021-09-22 18:19:27,69.3497,87.7602,32.58,87,93,20.65
126,Jinka,ET,2021-09-22 18:19:27,5.65,36.65,68.63,68,82,2.51
127,Wewak,PG,2021-09-22 18:19:28,-3.5534,143.6268,78.75,86,100,4.74
128,Cidreira,BR,2021-09-22 18:19:29,-30.1811,-50.2056,64.89,62,7,14.32
